<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^MT30,D,20260125,000000,1499.25,1519.26,1499.25,1517.57,0,0
^NOMUC,D,20260125,000000,23512.68,23617.57,23472.32,23612.74,1951794,0
^TASI,D,20260125,000000,11139.09,11285.13,11139.01,11268.48,214066621,0
CNOCNY1M,D,20260122,000000,1.557,1.557,1.557,1.557,0,0
CNOCNY1W,D,20260122,000000,1.497,1.497,1.497,1.497,0,0
CNOCNY1Y,D,20260122,000000,1.6458,1.6458,1.6458,1.6458,0,0
CNOCNY2W,D,20260122,000000,1.59,1.59,1.59,1.59,0,0
CNOCNY3M,D,20260122,000000,1.598,1.598,1.598,1.598,0,0
CNOCNY6M,D,20260122,000000,1.616,1.616,1.616,1.616,0,0
CNOCNY9M,D,20260122,000000,1.6327,1.6327,1.6327,1.6327,0,0
CNOCNYON,D,20260122,000000,1.413,1.413,1.413,1.413,0,0
HUOHUF1M,D,20260123,000000,6.5,6.5,6.5,6.5,0,0
HUOHUF1W,D,20260123,000000,6.5,6.5,6.5,6.5,0,0
HUOHUF1Y,D,20260123,000000,6.3,6.3,6.3,6.3,0,0
HUOHUF2M,D,20260123,000000,6.45,6.45,6.45,6.45,0,0
HUOHUF2W,D,20260123,000000,6.5,6.5,6.5,6.5,0,0
HUOHUF3M,D,20260123,000000,6.4,6.4,6.4,6.4,0,0
HUOHUF6M,D,20260123,000000,6.34,6.34,6.34,6.34,0,0
HUOHUF9M,D,20260123,000000,6.32,6.32,6.32,6.32,0,0
HUOHUFON,D,20260123,000000,6.5,6.5,6.5,6.5,0,0
PLBPLN1M,D,20260123,000000,3.84,3.84,3.84,3.84,0,0
PLBPLN3M,D,20260123,000000,3.72,3.72,3.72,3.72,0,0
PLBPLN6M,D,20260123,000000,3.61,3.61,3.61,3.61,0,0
PLBPLNON,D,20260123,000000,3.73,3.73,3.73,3.73,0,0
PLOPLN1M,D,20260123,000000,4.04,4.04,4.04,4.04,0,0
PLOPLN1Y,D,20260123,000000,3.73,3.73,3.73,3.73,0,0
PLOPLN3M,D,20260123,000000,3.92,3.92,3.92,3.92,0,0
PLOPLN6M,D,20260123,000000,3.81,3.81,3.81,3.81,0,0
PLOPLNON,D,20260123,000000,4.03,4.03,4.03,4.03,0,0
PLSPLN00,D,20260122,000000,3.868,3.868,3.868,3.868,0,0
PLSPLN1M,D,20260123,000000,3.65544,3.65544,3.65544,3.65544,0,0
PLSPLN3M,D,20260123,000000,3.88054,3.88054,3.88054,3.88054,0,0
PLSPLN6M,D,20260123,000000,4.29434,4.29434,4.29434,4.29434,0,0
PLSPLNCI,D,20260123,000000,124.69639622,124.69639622,124.69639622,124.69639622,0,0
PLWPLN00,D,20260122,000000,3.475,3.475,3.475,3.475,0,0
PLWPLN1M,D,20260123,000000,3.24935,3.24935,3.24935,3.24935,0,0
PLWPLN3M,D,20260123,000000,3.49316,3.49316,3.49316,3.49316,0,0
PLWPLN6M,D,20260123,000000,3.89939,3.89939,3.89939,3.89939,0,0
1301.JP,D,20260122,000000,5030,5040,4980,5030,38800,0
130A.JP,D,20260122,000000,494,499,481,483,161000,0
131A.JP,D,,000000,,,,,0,0
132A.JP,D,,000000,,,,,0,0
1332.JP,D,20260122,000000,1217.5,1224.5,1203.5,1217,1601600,0
1333.JP,D,20260122,000000,1395,1402.5,1383,1395,669000,0
134A.JP,D,,000000,,,,,0,0
135A.JP,D,20260122,000000,2688,2703,2574,2664,210700,0
136A.JP,D,,000000,,,,,0,0
1375.JP,D,20260122,000000,1066,1076,1065,1073,53500,0
1376.JP,D,20260122,000000,1506,1534,1500,1532,27100,0
1377.JP,D,20260122,000000,4010,4060,4000,4035,186500,0
1379.JP,D,20260122,000000,2018,2025,2011,2023,63500,0
137A.JP,D,20260122,000000,801,810,795,805,17800,0
1380.JP,D,20260122,000000,1010,1011,1010,1011,300,0
1381.JP,D,20260122,000000,4400,4600,4360,4490,14200,0
1382.JP,D,20260122,000000,1847,1847,1804,1815,1700,0
1383.JP,D,20260122,000000,3205,3210,3205,3205,1100,0
1384.JP,D,20260122,000000,3145,3150,3065,3105,20800,0
138A.JP,D,20260122,000000,2843,2843,2835,2835,1500,0
139A.JP,D,,000000,,,,,0,0
1401.JP,D,20260122,000000,1675,1684,1500,1500,59400,0
1407.JP,D,20260122,000000,1648,1648,1595,1628,640400,0
1414.JP,D,20260122,000000,1419.5,1428,1406.5,1420,1134600,0
1417.JP,D,20260122,000000,3766,3797,3742,3762,190000,0
1418.JP,D,20260122,000000,617,623,612,619,59500,0
1419.JP,D,20260122,000000,3710,3755,3700,3730,137800,0
141A.JP,D,20260122,000000,3070,3125,2986,3015,940400,0
1420.JP,D,20260122,000000,723,724,718,724,28000,0
1429.JP,D,20260122,000000,908,910,896,908,64000,0
142A.JP,D,20260122,000000,658,671,658,666,8000,0
1430.JP,D,20260122,000000,1007,1022,1007,1018,24900,0
1431.JP,D,20260122,000000,645,650,645,645,17900,0
1432.JP,D,20150818,000000,174,174,174,174,200,0
1433.JP,D,20260122,000000,1330,1340,1319,1319,92900,0
1434.JP,D,20260122,000000,1935,1979,1922,1970,53500,0
1435.JP,D,20260122,000000,169,170,168,169,153100,0
1436.JP,D,20260122,000000,2491,2491,2471,2477,1800,0
1438.JP,D,20260122,000000,1786,1808,1786,1808,700,0
143A.JP,D,20260122,000000,835,835,817,817,2300,0
1443.JP,D,20260122,000000,292,297,291,293,82300,0
1444.JP,D,20260122,000000,2960,2996,2953,2953,3500,0
1445.JP,D,20231006,000000,2900.00,2900.00,2900.00,2900.00,1000,0
1446.JP,D,20260122,000000,579,590,576,578,31100,0
1447.JP,D,20260122,000000,305,308,301,303,76800,0
144A.JP,D,,000000,,,,,0,0
1450.JP,D,20260122,000000,1440,1440,1434,1437,2400,0
1452.JP,D,20200227,000000,18530,18530,18530,18530,100,0
145A.JP,D,20260122,000000,1074,1074,1061,1068,2400,0
146A.JP,D,20260122,000000,3320,3365,3300,3350,44700,0
147A.JP,D,20260122,000000,1162,1162,1140,1147,51800,0
148A.JP,D,20260122,000000,2078,2082,2050,2054,2600,0
1491.JP,D,20260122,000000,1132,1147,1047,1079,390900,0
149A.JP,D,20260122,000000,839,845,837,843,2900,0
150A.JP,D,20260122,000000,401,406,401,405,3400,0
1514.JP,D,20260122,000000,630,636,616,626,274000,0
1515.JP,D,20260122,000000,3145,3180,3040,3050,771200,0
1518.JP,D,20260122,000000,1425,1462,1418,1457,316300,0
151A.JP,D,20260122,000000,719,719,705,707,22900,0
152A.JP,D,,000000,,,,,0,0
153A.JP,D,20260122,000000,1207,1207,1175,1184,51300,0
154A.JP,D,,000000,,,,,0,0
155A.JP,D,20260122,000000,1353,1375,1293,1308,96700,0
156A.JP,D,20260122,000000,885,899,883,895,83900,0
157A.JP,D,20260122,000000,1212,1360,1163,1243,1187600,0
158A.JP,D,,000000,,,,,0,0
1605.JP,D,20260122,000000,3232,3254,3216,3222,4029300,0
160A.JP,D,20260122,000000,2559,2559,2491,2511,10300,0
161A.JP,D,,000000,,,,,0,0
164A.JP,D,,000000,,,,,0,0
1662.JP,D,20260122,000000,1900,1916,1878,1892,2558500,0
1663.JP,D,20260122,000000,4305,4315,4160,4215,206400,0
166A.JP,D,20260122,000000,884,890,872,884,380800,0
167A.JP,D,20260122,000000,3140,3150,3095,3135,134600,0
168A.JP,D,20260122,000000,1634,1931,1604,1610,1059200,0
1711.JP,D,20260122,000000,256,261,255,257,31100,0
1716.JP,D,20260122,000000,1394,1409,1384,1400,15900,0
1717.JP,D,20260122,000000,1092,1118,1092,1118,34600,0
1718.JP,D,20260122,000000,8790,8810,8680,8760,2000,0
1719.JP,D,20260122,000000,2024,2029.5,2006,2017.5,698100,0
171A.JP,D,20250522,000000,2167,2167,2167,2167,100,0
1720.JP,D,20260122,000000,1370,1384,1359,1376,193700,0
1721.JP,D,20260122,000000,4947,4969,4908,4944,394100,0
1723.JP,D,20260122,000000,9890,10140,9660,10060,91500,0
1724.JP,D,20260122,000000,731,742,727,742,9700,0
1726.JP,D,20260122,000000,355,359,355,359,53400,0
172A.JP,D,,000000,,,,,0,0
1736.JP,D,20260122,000000,2781,2781,2706,2706,6200,0
173A.JP,D,20260122,000000,1525,1550,1523,1535,1300,0
1758.JP,D,20260122,000000,2659,2776,2630,2714,5800,0
175A.JP,D,20260122,000000,857,866,854,854,3300,0
1762.JP,D,20260122,000000,4120,4160,4080,4135,38000,0
1764.JP,D,20260122,000000,2910,2929,2906,2929,800,0
1766.JP,D,20260122,000000,14890,15180,14890,15110,15800,0
1768.JP,D,20260122,000000,1552,1585,1534,1585,13700,0
176A.JP,D,20260113,000000,2732,2733,2731,2732,25600,0
1770.JP,D,20260122,000000,1789,1809,1770,1774,2800,0
1773.JP,D,20260122,000000,88,88,87,88,52000,0
1776.JP,D,20260122,000000,1597,1620,1597,1612,4900,0
177A.JP,D,20260122,000000,1401,1401,1351,1367,11400,0
1780.JP,D,20260122,000000,1504,1510,1497,1509,52000,0
1783.JP,D,20260122,000000,65,65,61,62,1130300,0
1786.JP,D,20260122,000000,431,438,430,437,301600,0
1787.JP,D,20260122,000000,5720,5980,5720,5830,3900,0
1788.JP,D,20260122,000000,4990,5060,4990,5060,300,0
1793.JP,D,20260122,000000,1596,1610,1580,1610,3100,0
1795.JP,D,20260122,000000,4560,4560,4560,4560,200,0
1798.JP,D,20260122,000000,6760,6790,6730,6730,1000,0
1799.JP,D,20260122,000000,3835,3865,3815,3850,16900,0
1801.JP,D,20260122,000000,15955,16040,15645,15730,1008100,0
1802.JP,D,20260122,000000,3620,3640,3585,3610,3466900,0
1803.JP,D,20260122,000000,2805.5,2818,2736.5,2778.5,2700500,0
1807.JP,D,20260122,000000,1918,1925,1912,1914,1100,0
1808.JP,D,20260122,000000,3230,3264,3227,3240,600300,0
1810.JP,D,20260122,000000,1581,1608,1580,1597,28900,0
1811.JP,D,20260122,000000,8480,8550,8420,8550,2300,0
1812.JP,D,20260122,000000,6650,6682,6422,6477,2506800,0
1813.JP,D,20260122,000000,3145,3215,3105,3150,92600,0
1814.JP,D,20260122,000000,3960,3990,3900,3985,91700,0
1815.JP,D,20260122,000000,5130,5150,5050,5140,83800,0
1820.JP,D,20260122,000000,5955,6023,5945,5997,88700,0
1822.JP,D,20260122,000000,802,810,802,810,104100,0
1826.JP,D,20260122,000000,1204,1218,1204,1217,23300,0
1827.JP,D,20260122,000000,1157,1160,1143,1158,14700,0
1828.JP,D,20260122,000000,2714,2734,2661,2684,14800,0
1833.JP,D,20260122,000000,6630,6680,6590,6620,120000,0
1835.JP,D,20260122,000000,4825,4875,4800,4865,45700,0
1840.JP,D,20260122,000000,230,231,229,229,22100,0
1841.JP,D,20260122,000000,1585,1586,1585,1585,5400,0
1844.JP,D,20260122,000000,620,631,608,623,352400,0
1847.JP,D,20260122,000000,5030,5050,5000,5020,12200,0
1848.JP,D,20260122,000000,666,666,636,644,28700,0
184A.JP,D,20260122,000000,434,434,426,428,2300,0
1850.JP,D,20260122,000000,613,621,611,615,71000,0
1852.JP,D,20260122,000000,1115,1120,1104,1107,343200,0
