ticker,transaction_date,num_buy_transactions,total_shares_bought,total_value_bought,has_officer_buy,has_director_buy,has_ten_pct_owner_buy,avg_transaction_value
AAON,2025-12-12,1,6141.0,484400.19,1,0,0,484400.19
AARD,2025-12-11,2,10000.0,144630.0,1,1,0,72315.0
ABAKF,2025-10-15,1,534.0,8314.380000000001,0,1,0,8314.380000000001
ABCB,2025-12-08,1,307.58,23751.327599999997,0,1,0,23751.327599999997
ABCL,2025-11-26,1,50000.0,178500.0,0,1,0,178500.0
ABR-PF,2025-11-28,4,74308.0,647032.4,1,1,0,161758.1
ABSI,2025-12-05,1,40000.0,148800.0,0,1,0,148800.0
ABTC,2025-12-22,2,276000.0,490480.0,0,1,0,245240.0
ACET,2025-10-08,1,5000000.0,5000000.0,0,0,0,5000000.0
ACNB,2025-11-20,1,396.0,15840.0,0,1,0,15840.0
ACNB,2025-12-15,1,4.75,250.0875,0,1,0,250.0875
AFB,2025-10-31,1,13500.0,149490.0,0,1,0,149490.0
AFCG,2025-12-03,3,117000.0,338140.0,1,1,0,112713.33333333333
AFCG,2025-12-11,2,69000.0,204770.0,0,1,0,102385.0
ALNT,2025-12-23,1,847.0,47304.950000000004,0,1,0,47304.950000000004
ALRM,2025-11-20,1,26000.0,1257281.2400000002,1,1,0,1257281.2400000002
ALT,2025-12-29,3,25527.0,104877.59999999999,0,1,0,34959.2
ALTG-PA,2025-12-08,1,40000.0,202800.0,0,1,0,202800.0
AMLX,2025-12-23,1,8100.0,100845.0,0,1,0,100845.0
AMPL,2025-11-07,1,30000.0,299700.0,1,0,0,299700.0
AMT,2025-10-31,1,5554.0,994110.4600000001,0,1,0,994110.4600000001
APLE,2025-11-13,2,3000.0,35630.0,0,1,0,17815.0
APLE,2025-12-11,1,5000.0,59550.0,1,1,0,59550.0
ASA,2025-11-04,13,508907.0,24153214.78,0,0,0,1857939.5984615386
ASA,2025-12-04,10,135429.0,6683334.7299999995,0,0,0,668333.473
ASA,2025-12-29,9,86455.0,4907550.93,0,0,0,545283.4366666666
ASPJX,2025-11-26,2,56732.22,600226.8876,0,1,0,300113.4438
