ticker,transaction_date,num_buy_transactions,total_shares_bought,total_value_bought,has_officer_buy,has_director_buy,has_ten_pct_owner_buy,avg_transaction_value
A,2023-09-28,1,2.59,287.7231,1,0,0,287.7231
AAM-UN,2024-08-02,2,1518000.0,15180000.0,1,1,0,7590000.0
AAM-UN,2024-09-05,2,180000.0,1800000.0,1,1,0,900000.0
AAME,2022-03-31,1,1363809.0,5455236.0,0,0,0,5455236.0
AAME,2022-12-30,1,300000.0,900000.0,0,0,0,900000.0
AAOI,2022-11-08,1,44443.0,97774.6,1,1,0,97774.6
AAOI,2023-08-18,2,35802.0,446638.92,1,1,0,223319.46
AAOI,2023-09-14,2,20964.0,221042.16,1,1,0,110521.08
AAOI,2024-02-27,1,10000.0,152900.0,0,1,0,152900.0
AAOI,2024-03-18,3,51150.0,649533.8,1,1,0,216511.2666666667
AAOI,2024-05-14,1,9800.0,103291.99999999999,0,1,0,103291.99999999999
AAOI,2025-05-13,1,21200.0,386248.0,1,1,0,386248.0
AAOI,2025-08-14,5,56784.0,1274734.06,1,1,0,254946.812
AAON,2022-03-04,1,1000.0,53630.0,0,1,0,53630.0
AAON,2023-03-13,1,516.0,46078.799999999996,1,0,0,46078.799999999996
AAON,2023-09-15,1,500.0,30085.0,0,1,0,30085.0
AAON,2025-03-05,1,1000.0,80860.0,0,1,0,80860.0
AAON,2025-09-12,1,428.0,34967.6,1,0,0,34967.6
AAON,2025-12-12,1,6141.0,484400.19,1,0,0,484400.19
AAP,2023-06-12,6,17718.0,1160718.23,0,1,0,193453.03833333333
AAP,2023-09-13,1,8670.0,499825.5,0,1,0,499825.5
AAP,2023-12-08,2,1500.0,80670.0,1,0,0,40335.0
AAP,2024-03-27,4,10310.0,859647.21,0,1,0,214911.8025
AAP,2024-06-03,1,450.0,30150.0,1,0,0,30150.0
AAP,2024-10-25,1,69.28,2545.3472,0,1,0,2545.3472
AAP,2024-11-25,2,2780.0,107727.0,1,1,0,53863.5
AAP,2024-11-26,1,925.0,39886.0,1,0,0,39886.0
AAP,2025-03-11,3,17140.0,590471.0,1,1,0,196823.66666666666
AAP,2025-03-27,1,200.0,8140.000000000001,1,0,0,8140.000000000001
AARD,2025-02-14,4,839042.0,13424672.0,1,1,0,3356168.0
AARD,2025-09-15,3,36000.0,305635.0,1,1,0,101878.33333333333
AARD,2025-12-11,2,10000.0,144630.0,1,1,0,72315.0
AASP,2024-07-03,2,2990780.0,1196312.0,1,1,0,598156.0
AAT,2021-12-30,1,10000.0,375800.0,1,1,0,375800.0
AAT,2022-03-11,7,94416.0,3418027.49,1,1,0,488289.6414285715
AAT,2022-03-15,1,17238.0,620323.24,1,1,0,620323.24
AAT,2022-05-10,3,47194.0,1630100.18,1,1,0,543366.7266666667
AAT,2022-06-06,7,101197.0,3301083.55,1,1,0,471583.3642857143
AAT,2022-06-15,2,31882.0,938682.1799999999,1,1,0,469341.08999999997
AAT,2022-08-08,3,65000.0,1915450.0,1,1,0,638483.3333333334
AAT,2022-09-02,9,257071.0,7506052.6,1,1,0,834005.8444444444
AAT,2022-09-15,3,127324.0,3482148.0,1,1,0,1160716.0
AAT,2022-11-04,2,60000.0,1663500.0,1,1,0,831750.0
AAT,2023-03-13,2,50000.0,1072100.0,1,1,0,536050.0
AAT,2023-05-05,2,500000.0,9067800.0,1,1,0,4533900.0
AAT,2023-05-12,2,389680.0,7344571.2,1,1,0,3672285.6
AATC,2022-05-24,2,3000.0,17540.0,0,1,0,8770.0
AATC,2022-09-06,4,13000.0,66297.0,0,1,0,16574.25
AATC,2022-09-09,1,1000.0,5050.0,0,1,0,5050.0
AATC,2022-12-01,4,59130.0,291335.8,0,1,0,72833.95
AB,2024-09-20,2,1200000.0,41674000.0,0,0,0,20837000.0
