ticker,transaction_date,num_buy_transactions,total_shares_bought,total_value_bought,has_officer_buy,has_director_buy,has_ten_pct_owner_buy,avg_transaction_value,close,return_7td,excess_return_7td,total_shares_count,shares_traded_pct,label_7td
A,2023-09-28,1,2.59,287.7231,1,0,0,287.7231,109.93203735351562,-0.004425216663016173,-0.012788581387073741,282839637.0,9.157132385939245e-07,0
AAM-UN,2024-08-02,2,1518000.0,15180000.0,1,1,0,7590000.0,9.989999771118164,0.0,-0.016434888269189585,,,0
AAM-UN,2024-09-05,2,180000.0,1800000.0,1,1,0,900000.0,9.986000061035156,0.0014019566272055986,-0.02216155832410655,,,0
AAME,2022-03-31,1,1363809.0,5455236.0,0,0,0,5455236.0,3.0046300888061523,0.16293920839412895,0.18895900947795052,20397228.0,6.68624677823869,1
AAME,2022-12-30,1,300000.0,900000.0,0,0,0,900000.0,2.258683204650879,0.0683759844722241,0.0344887315950591,20397228.0,1.4707880894403886,0
AAOI,2022-11-08,1,44443.0,97774.6,1,1,0,97774.6,2.1500000953674316,0.018604632594768054,-0.012337515840885938,68279888.0,0.06508944478643551,0
AAOI,2023-08-18,2,35802.0,446638.92,1,1,0,223319.46,12.800000190734863,0.10156251338776182,0.07228827710697319,68279888.0,0.052434180911368804,1
AAOI,2023-09-14,2,20964.0,221042.16,1,1,0,110521.08,9.755000114440918,-0.03741668547782309,-0.00020105150395775123,68279888.0,0.030703038060050713,0
AAOI,2024-02-27,1,10000.0,152900.0,0,1,0,152900.0,15.420000076293945,-0.037613483841528766,-0.0532056221192571,68279888.0,0.014645601058982403,0
AAOI,2024-03-18,3,51150.0,649533.8,1,1,0,216511.2666666667,12.979999542236328,0.07550081128445094,0.0562616903731529,68279888.0,0.074912249416695,1
AAOI,2024-05-14,1,9800.0,103291.99999999999,0,1,0,103291.99999999999,11.15999984741211,0.06630822412508926,0.062275260944595935,68279888.0,0.014352689037802758,1
AAOI,2025-05-13,1,21200.0,386248.0,1,1,0,386248.0,20.290000915527344,-0.13208477990382225,-0.12451837164426205,68279888.0,0.0310486742450427,0
AAOI,2025-08-14,5,56784.0,1274734.06,1,1,0,254946.812,21.010000228881836,0.15849594894951027,0.1630132302320398,68279888.0,0.08316358105332569,1
AAON,2022-03-04,1,1000.0,53630.0,0,1,0,53630.0,35.50508499145508,-0.0022090917539668515,0.013134385891916765,81634058.0,0.0012249789175003403,0
AAON,2023-03-13,1,516.0,46078.799999999996,1,0,0,46078.799999999996,57.92707443237305,0.03946326810220586,0.01840128272660765,81634058.0,0.0006320891214301756,0
AAON,2023-09-15,1,500.0,30085.0,0,1,0,30085.0,60.309932708740234,-0.08787785769752814,-0.04815261410932482,81634058.0,0.0006124894587501701,0
AAON,2025-03-05,1,1000.0,80860.0,0,1,0,80860.0,81.56755065917969,0.0024406938701675073,0.037303409032983646,81634058.0,0.0012249789175003403,0
AAON,2025-09-12,1,428.0,34967.6,1,0,0,34967.6,82.09270477294922,0.14699441592073648,0.1359636316779996,81634058.0,0.0005242909766901457,1
AAON,2025-12-12,1,6141.0,484400.19,1,0,0,484400.19,77.93000030517578,-0.034389840814587895,-0.046455892352020016,81634058.0,0.007522595532369589,0
AAP,2023-06-12,6,17718.0,1160718.23,0,1,0,193453.03833333333,63.31529235839844,0.016146069183943533,0.006245020031944952,60100000.0,0.029480865224625622,0
AAP,2023-09-13,1,8670.0,499825.5,0,1,0,499825.5,55.02857971191406,-0.005696544403723096,0.027293240516834363,60100000.0,0.01442595673876872,0
AAP,2023-12-08,2,1500.0,80670.0,1,0,0,40335.0,53.71368408203125,0.08157118385991625,0.04595284827307673,60100000.0,0.0024958402662229617,0
AAP,2024-03-27,4,10310.0,859647.21,0,1,0,214911.8025,81.77922821044922,-0.08427080706564355,-0.07548731017461052,60100000.0,0.01715474209650582,0
AAP,2024-06-03,1,450.0,30150.0,1,0,0,30150.0,64.83000946044922,-0.03693259549186757,-0.06298208736384314,60100000.0,0.0007487520798668885,0
