Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Index Value,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),wind_direction_10m_dominant (°),Number of Admissions
2017-05-01,38.35,61.36,16.18,5.71,116.68,50.755,1.82,0.7,25.85,0.0,0.01,87.0,26.9,35.6,17.4,26.3,36.0,16.9,13.7,29.5,8,28.0
2017-05-02,48.6,77.75,15.48,5.74,116.68,50.755,4.74,0.9,43.53,0.0,0.0,79.0,29.4,37.8,19.4,27.7,38.1,16.9,17.2,29.5,46,14.0
2017-05-03,46.94,75.1,18.65,4.8,116.68,50.755,2.38,1.19,19.42,0.0,0.13,81.0,30.2,36.8,25.1,28.4,35.9,23.7,19.1,40.7,39,15.0
2017-05-04,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,29.2,36.0,23.6,28.1,37.4,21.9,18.8,35.3,20,17.0
2017-05-05,75.77,121.22,8.48,8.62,116.68,50.755,0.99,0.49,32.05,2.64,1.77,108.5,29.5,38.0,20.9,28.6,37.7,19.5,15.3,33.8,326,23.0
2017-05-06,45.17,72.27,14.23,6.48,116.68,50.755,3.69,0.88,32.92,2.64,1.77,99.0,31.3,39.5,22.6,31.2,40.3,22.3,18.4,38.2,330,16.0
2017-05-07,52.4,83.85,13.72,6.77,116.68,50.755,2.15,0.83,56.53,2.64,1.77,97.0,32.0,41.0,23.0,31.2,41.1,22.2,18.8,42.5,332,23.0
2017-05-08,42.62,68.2,2.9,10.87,116.68,50.755,2.59,0.4,18.46,2.64,1.77,92.0,33.0,41.8,23.2,32.4,43.3,22.5,15.8,34.9,319,24.0
2017-05-09,74.85,119.76,3.28,12.34,116.68,50.755,3.03,0.98,9.81,2.64,1.77,112.0,32.4,42.0,26.3,32.9,43.2,24.3,28.1,55.1,113,25.0
2017-05-10,109.99,175.98,17.82,3.97,116.68,50.755,9.34,1.43,14.1,2.64,1.77,124.0,31.6,39.7,27.0,32.6,42.3,27.5,21.0,43.6,132,24.0
2017-05-11,61.75,98.8,13.23,6.74,116.68,50.755,6.81,1.47,27.78,2.64,1.77,114.0,31.6,37.8,24.5,32.5,39.6,26.5,17.1,33.5,345,13.0
2017-05-12,54.48,87.18,12.33,6.27,116.68,50.755,4.26,1.21,22.28,2.64,1.77,102.0,31.7,39.7,23.8,32.0,41.0,24.3,13.9,31.0,316,19.0
2017-05-13,68.94,110.3,8.05,7.96,116.68,50.755,1.82,0.77,35.88,2.64,0.1,95.0,32.4,39.8,25.5,32.3,41.2,25.0,16.1,36.4,321,20.0
2017-05-14,49.03,78.45,12.54,6.12,116.68,50.755,4.53,1.23,30.69,2.64,1.77,93.0,32.2,40.0,25.0,32.2,39.7,24.6,24.0,49.7,301,16.0
2017-05-15,63.7,101.92,14.07,5.52,116.68,50.755,5.14,1.26,20.47,2.64,1.77,106.0,33.4,41.5,24.9,33.3,43.3,25.2,15.6,35.3,311,30.0
2017-05-16,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,106.0,30.9,37.9,25.9,31.1,39.8,26.0,15.4,35.3,316,18.0
2017-05-17,77.34,123.75,15.31,4.35,116.68,50.755,4.88,1.08,5.74,2.64,1.77,124.0,29.4,37.3,23.0,30.7,39.0,24.5,31.0,58.7,316,26.0
2017-05-18,67.23,107.56,10.76,6.24,116.68,50.755,1.35,1.09,12.19,2.64,1.77,109.0,30.1,37.0,23.6,32.1,40.0,25.5,19.6,48.6,33,20.0
2017-05-19,45.26,72.41,12.41,5.89,116.68,50.755,2.78,1.12,12.23,2.64,1.77,87.0,31.5,39.4,23.9,32.8,41.5,25.8,24.9,47.2,42,18.0
2017-05-20,52.82,84.5,12.42,5.47,116.68,50.755,0.03,0.67,6.9,2.64,1.77,99.0,31.4,39.0,23.0,32.3,42.1,23.7,16.8,35.3,99,15.0
2017-05-21,42.06,67.3,16.18,3.92,116.68,50.755,1.73,0.73,4.76,2.64,1.77,91.0,30.7,37.8,23.6,31.4,41.0,24.1,15.1,33.1,326,16.0
2017-05-22,40.92,65.47,14.67,4.76,116.68,50.755,4.44,0.79,34.47,2.64,1.77,86.0,28.4,35.0,22.4,30.6,38.8,24.9,13.2,32.4,319,18.0
2017-05-23,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,97.0,29.5,36.0,23.0,31.8,39.3,25.1,8.9,21.6,319,24.0
2017-05-24,54.35,86.95,14.86,4.62,116.68,50.755,3.7,0.9,13.41,2.64,1.77,79.0,30.9,38.0,23.0,32.6,41.6,24.3,10.9,23.0,84,27.0
2017-05-25,53.9,86.22,16.84,3.93,116.68,50.755,0.45,1.28,25.32,2.64,1.77,92.0,32.4,39.5,24.5,34.0,42.8,26.5,10.0,25.6,209,20.0
2017-05-26,51.21,81.93,13.01,6.14,116.68,50.755,2.89,0.79,11.35,2.64,1.77,76.0,33.7,41.7,24.5,34.5,44.9,25.6,22.9,48.6,71,14.0
2017-05-27,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,75.0,32.9,41.8,25.0,33.5,45.0,24.8,19.2,39.6,124,18.0
2017-05-28,79.86,127.78,14.35,5.42,116.68,50.755,3.12,0.05,11.98,2.64,1.77,86.0,32.1,38.9,27.5,33.4,40.9,28.5,25.2,50.0,131,14.0
2017-05-29,39.79,63.66,16.48,4.02,116.68,50.755,3.59,0.78,8.52,2.64,1.77,78.0,30.8,36.0,26.5,32.9,39.7,28.3,19.7,42.8,132,15.0
2017-05-30,45.2,72.32,8.57,6.78,116.68,50.755,1.82,0.23,26.23,2.64,1.77,153.0,31.3,37.1,25.0,33.9,40.2,28.2,12.7,29.9,82,21.0
2017-05-31,123.81,198.09,13.73,3.12,116.68,50.755,4.23,1.02,18.16,2.64,1.77,162.0,29.8,35.7,24.1,31.8,38.5,26.0,22.8,47.9,104,9.0
2017-06-01,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,140.0,30.5,37.8,22.1,31.4,39.5,23.0,18.9,38.9,3,21.0
2017-06-02,40.96,65.54,35.2,14.73,116.68,50.755,8.64,0.91,16.14,2.64,1.77,114.0,32.3,40.0,23.1,32.9,40.5,23.3,15.0,32.8,312,18.0
2017-06-03,59.58,95.32,27.53,14.73,116.68,50.755,7.54,0.84,63.13,2.64,1.77,118.0,33.9,42.8,24.0,34.2,42.3,24.9,16.3,35.6,302,27.0
2017-06-04,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,102.0,36.3,44.8,26.6,37.2,46.5,27.5,11.7,28.1,280,20.0
2017-06-05,57.25,91.6,29.69,14.73,116.68,50.755,7.68,1.04,19.3,2.64,1.77,112.0,36.6,44.4,28.8,37.6,46.4,29.1,16.2,35.6,276,36.0
2017-06-06,46.62,74.59,19.69,14.73,116.68,50.755,1.57,0.68,13.31,7.93,0.1,98.0,35.4,39.8,30.5,37.1,42.6,31.6,24.2,39.6,143,24.0
2017-06-07,37.17,119.76,16.69,0.19,116.68,50.755,3.48,0.81,11.61,6.55,0.27,141.0,28.7,33.3,25.0,31.8,37.3,29.3,24.3,48.6,128,23.0
2017-06-08,39.9,63.84,15.64,0.77,116.68,50.755,3.99,0.68,23.53,5.18,0.12,71.0,30.8,38.1,25.2,34.0,42.0,27.9,13.8,32.0,357,25.0
2017-06-09,57.095,119.76,16.51,0.74,116.68,50.755,5.47,1.04,11.61,6.49,0.12,88.0,29.9,34.7,24.1,33.3,39.3,28.3,15.5,42.8,308,13.0
2017-06-10,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,84.0,30.6,37.2,24.7,33.2,42.0,27.7,17.9,36.4,302,20.0
2017-06-11,43.24,69.18,13.26,1.98,116.68,50.755,3.53,0.64,6.73,3.35,0.04,84.0,30.1,37.3,23.6,31.8,40.0,24.9,12.7,29.9,334,11.0
2017-06-12,57.095,119.76,15.73,0.72,116.68,50.755,2.6,0.91,11.61,5.95,0.06,77.0,31.4,39.0,23.5,32.9,40.4,25.8,14.6,39.2,309,10.0
2017-06-13,57.14,91.42,15.68,1.68,116.68,50.755,21.13,1.39,11.61,8.75,1.77,85.0,32.0,39.9,24.5,33.8,43.8,26.3,18.9,36.7,338,22.0
2017-06-14,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,97.0,33.7,40.5,27.5,35.0,41.9,29.6,15.7,31.7,310,21.0
2017-06-15,97.59,156.14,21.65,14.73,116.68,50.755,6.05,0.55,12.13,3.33,1.77,194.0,32.3,40.0,26.1,34.3,43.0,27.7,16.5,55.8,292,17.0
2017-06-16,40.89,65.43,12.71,1.86,116.68,50.755,7.2,0.78,10.32,4.93,1.77,145.0,31.8,38.4,25.6,33.7,41.1,27.5,16.5,37.1,140,17.0
2017-06-17,53.03,84.84,15.09,14.73,116.68,50.755,0.04,0.86,13.65,7.15,3.83,192.0,32.1,37.8,27.5,35.7,43.0,30.2,11.3,24.8,159,17.0
2017-06-18,216.08,345.72,13.15,0.03,116.68,50.755,1.82,0.77,27.87,6.01,3.83,108.5,32.2,37.2,26.4,37.1,43.5,31.3,8.6,22.0,263,15.0
2017-06-19,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,268.0,32.6,38.7,28.2,37.1,43.7,32.9,17.4,42.5,161,21.0
2017-06-20,57.095,119.76,14.49,14.73,116.68,50.755,1.82,0.73,13.18,5.21,3.83,39.0,29.3,33.8,24.6,34.0,39.6,28.5,15.3,30.6,151,23.0
2017-06-21,75.03,86.6,14.82,14.73,116.68,50.755,3.23,0.71,9.0,5.38,3.83,256.0,25.6,29.0,22.6,29.5,33.2,25.9,16.2,34.6,276,18.0
2017-06-22,33.21,53.14,3.35,11.6,116.68,50.755,3.18,0.21,58.09,5.03,3.84,123.0,27.6,32.7,22.7,31.9,38.1,26.2,10.0,29.9,301,19.0
2017-06-23,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,99.0,29.3,33.8,24.3,34.1,39.9,29.4,8.2,20.5,295,21.0
2017-06-24,72.0,115.19,21.0,3.25,116.68,50.755,0.17,0.61,19.97,5.06,3.83,159.0,31.3,35.7,25.3,36.5,41.9,30.2,6.6,18.4,256,32.0
2017-06-25,69.75,111.6,23.94,2.31,116.68,50.755,0.36,0.77,30.58,7.82,3.83,182.0,32.4,37.0,26.9,38.2,43.8,32.4,6.5,18.0,161,14.0
2017-06-26,66.93,107.08,19.07,4.96,116.68,50.755,4.64,0.08,19.05,6.85,3.83,210.0,32.7,37.2,29.2,37.8,44.3,33.1,19.4,39.6,120,25.0
2017-06-27,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,31.2,35.2,26.4,36.7,41.5,30.8,13.3,35.3,113,15.0
2017-06-28,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,28.7,33.3,25.9,34.0,38.3,30.9,16.4,36.0,125,18.0
2017-06-29,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,26.3,29.0,25.0,31.5,33.7,29.5,13.0,30.2,97,18.0
2017-06-30,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,27.2,32.0,24.1,32.6,38.4,28.8,12.5,27.4,119,16.0
2017-07-01,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,29.0,33.0,24.9,35.5,40.6,30.6,10.9,31.0,82,11.0
2017-07-02,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,29.5,33.5,26.8,35.9,40.9,32.5,15.2,35.6,143,18.0
2017-07-03,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,29.8,33.3,26.0,36.6,43.1,31.8,9.7,23.4,109,21.0
2017-07-04,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,30.7,35.5,26.5,38.0,43.7,33.0,9.6,25.6,270,24.0
2017-07-05,45.42,72.67,3.55,8.33,116.68,50.755,3.6,0.12,52.97,3.3,3.83,76.0,30.9,35.2,25.8,37.9,44.7,32.2,10.6,25.6,189,27.0
2017-07-06,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,75.0,29.1,34.4,24.5,34.8,42.4,28.3,16.5,38.9,124,21.0
2017-07-07,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,29.5,33.8,26.0,36.1,42.2,31.9,8.7,20.5,130,25.0
2017-07-08,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,30.2,34.5,25.7,36.6,41.3,31.9,9.2,21.6,303,19.0
2017-07-09,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,31.2,35.1,27.5,38.1,42.2,34.1,11.0,25.6,262,12.0
2017-07-10,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,31.3,35.8,27.8,38.3,44.2,33.2,12.0,26.3,169,27.0
2017-07-11,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,29.8,34.7,27.1,35.7,42.3,31.5,15.9,36.0,138,24.0
2017-07-12,57.095,119.76,4.07,14.73,116.68,50.755,8.29,0.33,11.71,4.84,3.83,108.5,28.2,32.1,26.0,33.1,37.9,30.4,17.3,32.8,125,18.0
2017-07-13,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,28.1,31.6,25.1,33.8,38.0,29.9,8.5,36.4,100,17.0
2017-07-14,57.095,119.76,9.51,6.0,116.68,50.755,3.7,0.66,21.57,5.32,3.83,108.5,29.6,34.0,26.1,36.0,41.0,32.0,7.0,16.6,56,19.0
2017-07-15,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,29.5,33.0,26.5,35.6,39.7,32.6,18.0,36.4,121,12.0
2017-07-16,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,30.0,33.6,27.0,36.5,41.4,32.4,8.9,22.3,117,10.0
2017-07-17,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,29.5,33.7,26.8,36.3,42.8,32.6,13.4,31.7,110,30.0
2017-07-18,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,29.2,33.3,26.2,35.5,39.7,32.2,12.7,27.7,88,26.0
2017-07-19,54.13,86.61,15.73,14.73,116.68,50.755,1.82,0.65,44.15,4.2,3.83,97.0,30.3,34.8,26.7,36.9,41.8,33.6,8.4,18.7,321,17.0
2017-07-20,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,28.8,30.7,27.2,35.0,36.9,33.1,15.1,32.4,123,20.0
2017-07-21,15.08,24.12,0.69,12.43,116.68,50.755,1.23,1.6,10.72,10.52,3.83,108.5,29.4,33.2,25.4,35.9,40.1,31.2,5.9,15.5,94,16.0
2017-07-22,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,29.3,32.7,27.2,35.3,38.9,32.6,14.0,42.8,111,17.0
2017-07-23,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,29.7,33.0,26.8,35.6,40.4,31.5,13.2,23.8,86,11.0
2017-07-24,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,28.7,32.8,26.7,34.7,40.1,32.2,11.6,31.7,100,27.0
2017-07-25,56.41,90.25,0.51,16.14,116.68,50.755,8.67,0.645,7.37,14.86,3.83,88.0,28.8,31.4,26.0,34.4,37.7,31.3,12.8,30.6,118,16.0
2017-07-26,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,94.0,28.7,31.8,26.3,34.3,38.6,31.9,14.0,32.0,115,26.0
2017-07-27,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,28.5,32.3,25.8,34.4,38.4,31.2,11.7,26.6,124,20.0
2017-07-28,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,28.5,31.0,26.2,34.9,37.8,32.2,9.9,27.7,122,18.0
2017-07-29,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,29.3,32.0,27.4,34.5,38.2,32.0,17.4,44.3,119,11.0
2017-07-30,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,28.6,32.9,26.5,34.9,40.8,32.1,12.5,26.3,121,18.0
2017-07-31,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,27.3,28.8,25.8,32.6,34.7,31.0,15.7,31.0,137,19.0
2017-08-01,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,27.0,29.8,25.5,33.2,36.1,31.5,11.4,26.6,166,25.0
2017-08-02,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,27.0,29.6,25.4,33.3,36.2,31.1,7.7,26.6,187,20.0
2017-08-03,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,28.0,31.0,25.5,34.5,38.2,31.4,9.5,28.1,235,18.0
2017-08-04,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,28.6,32.7,26.0,35.2,40.4,32.0,9.2,25.2,162,24.0
2017-08-05,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,29.2,33.8,25.7,36.0,42.1,31.0,10.9,24.5,130,20.0
2017-08-06,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,29.5,32.9,26.3,37.0,42.8,32.2,9.7,25.2,95,21.0
2017-08-07,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,28.7,31.3,27.1,36.1,39.6,33.8,7.9,20.2,133,18.0
2017-08-08,57.095,119.76,74.41,14.73,116.68,50.755,3.82,1.12,11.61,0.0,3.83,108.5,28.7,32.2,26.5,35.6,39.9,32.3,9.0,21.2,136,23.0
2017-08-09,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,28.9,32.5,27.0,35.8,39.9,33.4,10.5,23.0,139,5.0
2017-08-10,57.095,119.76,15.73,14.73,116.68,50.755,1.82,0.645,11.61,2.64,1.77,108.5,29.0,32.8,25.8,36.2,41.4,32.1,7.6,27.0,354,2.0
