Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),Index Value,temperature_2m_max (°C),apparent_temperature_max (°C),Ozone (µg/m³),NO2 (µg/m³),CO (mg/m³),RH (%),temperature_2m_min (°C),Air Quality,Number of Admissions,Brought_Dead_Count
2017-05-01,38.35,61.36,87.0,35.6,36.0,25.85,5.71,0.7,15.87,17.4,Satisfactory,28,0
2017-05-02,48.6,77.75,79.0,37.8,38.1,43.53,5.74,0.9,10.51,19.4,Satisfactory,14,0
2017-05-03,46.94,75.1,81.0,36.8,35.9,19.42,4.8,1.19,26.65,25.1,Satisfactory,15,0
2017-05-04,46.94,75.1,81.0,36.0,37.4,19.42,4.8,1.19,26.65,23.6,,19,0
2017-05-05,75.77,121.22,81.0,38.0,37.7,32.05,8.62,0.49,18.09,20.9,,23,2
2017-05-06,45.17,72.27,99.0,39.5,40.3,32.92,6.48,0.88,20.89,22.6,Satisfactory,16,0
2017-05-07,52.4,83.85,97.0,41.0,41.1,56.53,6.77,0.83,16.39,23.0,Satisfactory,23,1
2017-05-08,42.62,68.2,92.0,41.8,43.3,18.46,10.87,0.4,13.05,23.2,Satisfactory,24,0
2017-05-09,74.85,119.76,112.0,42.0,43.2,9.81,12.34,0.98,26.12,26.3,Moderate,25,2
2017-05-10,109.99,175.98,124.0,39.7,42.3,14.1,3.97,1.43,29.88,27.0,Moderate,25,0
2017-05-11,61.75,98.8,114.0,37.8,39.6,27.78,6.74,1.47,44.69,24.5,Moderate,18,0
2017-05-12,54.48,87.18,102.0,39.7,41.0,22.28,6.27,1.21,36.59,23.8,Moderate,25,1
2017-05-13,68.94,110.3,95.0,39.8,41.2,35.88,7.96,0.77,25.98,25.5,Satisfactory,20,1
2017-05-14,49.03,78.45,93.0,40.0,39.7,30.69,6.12,1.23,30.01,25.0,Satisfactory,16,2
2017-05-15,63.7,101.92,106.0,41.5,43.3,20.47,5.52,1.26,30.47,24.9,Moderate,30,1
2017-05-16,63.7,101.92,106.0,37.9,39.8,20.47,5.52,1.26,30.47,25.9,Moderate,18,0
2017-05-17,77.34,123.75,124.0,37.3,39.0,5.74,4.35,1.08,61.1,23.0,Moderate,26,0
2017-05-18,67.23,107.56,109.0,37.0,40.0,12.19,6.24,1.09,49.83,23.6,Moderate,20,0
2017-05-19,45.26,72.41,87.0,39.4,41.5,12.23,5.89,1.12,36.38,23.9,Satisfactory,18,0
2017-05-20,52.82,84.5,99.0,39.0,42.1,6.9,5.47,0.67,47.96,23.0,Satisfactory,15,0
2017-05-21,42.06,67.3,91.0,37.8,41.0,4.76,3.92,0.73,61.27,23.6,Satisfactory,16,0
2017-05-22,40.92,65.47,86.0,35.0,38.8,34.47,4.76,0.79,36.58,22.4,Satisfactory,18,0
2017-05-23,40.92,65.47,97.0,36.0,39.3,34.47,4.76,0.79,36.58,23.0,Satisfactory,24,0
2017-05-24,54.35,86.95,79.0,38.0,41.6,13.41,4.62,0.9,36.8,23.0,Satisfactory,27,3
2017-05-25,53.9,86.22,92.0,39.5,42.8,25.32,3.93,1.28,25.92,24.5,Satisfactory,20,1
2017-05-26,51.21,81.93,76.0,41.7,44.9,11.35,6.14,0.79,28.11,24.5,Satisfactory,14,0
2017-05-27,51.21,81.93,75.0,41.8,45.0,11.35,6.14,0.79,28.11,25.0,Satisfactory,18,0
2017-05-28,79.86,127.78,86.0,38.9,40.9,11.98,5.42,0.05,52.39,27.5,Satisfactory,14,1
2017-05-29,39.79,63.66,78.0,36.0,39.7,8.52,4.02,0.78,53.05,26.5,Satisfactory,15,0
2017-05-30,45.2,72.32,153.0,37.1,40.2,26.23,6.78,0.23,28.0,25.0,Moderate,21,0
2017-05-31,123.81,198.09,162.0,35.7,38.5,18.16,3.12,1.02,48.57,24.1,Moderate,9,1
2017-06-01,123.81,198.09,140.0,37.8,39.5,18.16,3.12,1.02,48.57,22.1,Moderate,21,0
2017-06-02,40.96,65.54,114.0,40.0,40.5,16.14,3.12,0.91,19.48,23.1,Moderate,18,0
2017-06-03,59.58,95.32,118.0,42.8,42.3,63.13,3.12,0.84,26.66,24.0,Moderate,27,0
2017-06-04,59.58,95.32,102.0,44.8,46.5,63.13,3.12,0.84,26.66,26.6,Moderate,20,1
2017-06-05,57.25,91.6,112.0,44.4,46.4,19.3,3.12,1.04,38.41,28.8,Moderate,36,1
2017-06-06,46.62,74.59,98.0,39.8,42.6,13.31,3.12,0.68,33.45,30.5,Satisfactory,24,1
2017-06-07,37.17,74.59,141.0,33.3,37.3,13.31,0.19,0.81,52.81,25.0,Moderate,23,1
2017-06-08,39.9,63.84,71.0,38.1,42.0,23.53,0.77,0.68,57.28,25.2,Satisfactory,25,0
2017-06-09,39.9,63.84,88.0,34.7,39.3,23.53,0.74,1.04,46.85,24.1,Satisfactory,13,0
2017-06-10,39.9,63.84,84.0,37.2,42.0,23.53,0.74,1.04,46.85,24.7,Satisfactory,24,0
2017-06-11,43.24,69.18,84.0,37.3,40.0,6.73,1.98,0.64,62.79,23.6,Satisfactory,25,0
2017-06-12,43.24,69.18,77.0,39.0,40.4,6.73,0.72,0.91,37.59,23.5,Satisfactory,15,1
2017-06-13,57.14,91.42,85.0,39.9,43.8,6.73,1.68,1.39,51.86,24.5,Satisfactory,22,0
2017-06-14,57.14,91.42,97.0,40.5,41.9,6.73,1.68,1.39,51.86,27.5,Satisfactory,21,0
2017-06-15,97.59,156.14,194.0,40.0,43.0,12.13,1.68,0.55,55.4,26.1,Moderate,17,0
2017-06-16,40.89,65.43,145.0,38.4,41.1,10.32,1.86,0.78,42.96,25.6,Moderate,17,0
2017-06-17,53.03,84.84,192.0,37.8,43.0,13.65,1.86,0.86,44.84,27.5,Moderate,17,1
2017-06-18,216.08,345.72,192.0,37.2,43.5,27.87,0.03,0.77,55.85,26.4,,15,1
2017-06-19,216.08,345.72,268.0,38.7,43.7,27.87,0.03,0.77,55.85,28.2,Poor,21,1
2017-06-20,216.08,345.72,39.0,33.8,39.6,13.18,0.03,0.73,81.31,24.6,Good,23,1
2017-06-21,75.03,86.6,256.0,29.0,33.2,9.0,0.03,0.71,72.19,22.6,Poor,18,0
2017-06-22,33.21,53.14,123.0,32.7,38.1,58.09,11.6,0.21,50.34,22.7,Moderate,19,0
2017-06-23,33.21,53.14,99.0,33.8,39.9,58.09,11.6,0.21,50.34,24.3,Satisfactory,21,1
2017-06-24,72.0,115.19,159.0,35.7,41.9,19.97,3.25,0.61,67.55,25.3,Moderate,32,0
2017-06-25,69.75,111.6,182.0,37.0,43.8,30.58,2.31,0.77,54.24,26.9,Moderate,14,0
2017-06-26,66.93,107.08,210.0,37.2,44.3,19.05,4.96,0.08,50.39,29.2,Poor,25,0
2017-06-27,66.93,107.08,210.0,35.2,41.5,19.05,4.96,0.08,50.39,26.4,,15,1
2017-06-28,66.93,107.08,210.0,33.3,38.3,19.05,4.96,0.08,50.39,25.9,,18,0
2017-06-29,66.93,107.08,210.0,29.0,33.7,19.05,4.96,0.08,50.39,25.0,,18,0
2017-06-30,66.93,107.08,210.0,32.0,38.4,19.05,4.96,0.08,50.39,24.1,,16,1
