latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
30.896309,75.83432,252.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),wind_direction_10m_dominant (°)
2017-01-10,8.8,14.9,3.6,6.0,12.0,0.5,10.5,25.2,293
2017-01-11,8.6,15.2,2.7,5.9,12.6,-0.3,12.6,28.1,298
2017-01-12,8.3,15.6,2.2,5.6,12.9,-0.9,11.5,26.3,303
2017-01-13,8.7,16.1,2.7,6.0,13.7,-0.6,10.7,23.8,305
2017-01-14,9.7,15.8,4.9,7.2,12.8,1.9,15.1,27.0,322
2017-01-15,11.7,17.6,6.6,10.1,16.6,4.5,8.1,27.7,251
2017-01-16,11.5,15.7,7.1,10.0,14.7,5.1,12.4,37.1,306
2017-01-17,10.2,15.2,5.4,8.4,13.8,3.2,9.3,24.1,287
2017-01-18,9.6,16.4,3.2,7.8,15.0,0.4,10.0,17.3,347
2017-01-19,10.2,17.1,5.8,7.9,15.0,3.1,14.6,29.5,309
2017-01-20,10.3,18.1,4.5,8.4,16.6,1.9,10.3,22.3,296
2017-01-21,10.8,15.6,6.8,9.2,14.4,4.8,8.7,20.5,300
2017-01-22,12.3,19.4,6.1,11.1,18.9,3.9,8.7,16.6,294
2017-01-23,12.9,19.9,7.5,11.6,19.2,5.8,9.7,21.6,303
2017-01-24,13.2,18.5,8.1,12.2,17.3,6.6,12.7,28.1,317
2017-01-25,14.1,18.6,11.6,13.4,17.7,10.8,21.3,43.6,99
2017-01-26,15.1,17.0,12.9,14.4,17.0,12.2,17.7,41.4,131
2017-01-27,14.1,18.4,10.9,13.7,18.3,9.8,11.7,20.9,290
2017-01-28,12.7,18.4,8.2,11.8,17.4,6.9,14.3,28.4,298
2017-01-29,13.8,19.5,10.4,12.8,18.4,9.1,13.0,27.0,294
2017-01-30,12.0,17.6,7.9,11.4,17.2,6.9,8.8,20.5,296
2017-01-31,13.3,19.6,8.2,12.6,18.9,6.9,13.8,29.2,302
2017-02-01,13.3,19.6,8.8,12.6,19.7,7.3,9.9,21.2,297
2017-02-02,13.2,19.1,8.3,12.9,19.1,7.4,8.9,18.0,303
2017-02-03,13.2,19.7,9.6,12.9,20.2,8.4,8.0,19.1,287
2017-02-04,15.3,20.8,9.2,13.3,18.5,8.0,29.2,55.1,130
2017-02-05,15.9,18.6,12.8,15.5,18.5,12.6,26.3,49.0,144
2017-02-06,13.2,18.5,9.1,12.4,18.6,7.7,11.2,26.3,293
2017-02-07,12.8,19.0,8.4,11.5,18.4,6.6,11.9,25.2,294
2017-02-08,13.5,18.0,9.1,12.6,17.2,8.2,7.9,21.6,260
2017-02-09,12.5,18.9,7.2,11.6,18.3,6.3,12.2,28.4,300
2017-02-10,12.5,19.2,7.8,11.1,18.3,5.7,13.5,27.7,302
2017-02-11,12.4,20.0,6.6,11.0,19.2,4.5,10.4,21.6,300
2017-02-12,12.7,20.3,6.4,11.7,20.7,3.9,9.6,15.8,299
